"Name","scanSplit","Encoder_Validation_R2","noDecoder","allScans"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","30","0.9111892433139408","true","true"
"scansFINALSWEEP_annVAL_30_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","30","0.8896746142253107","false","true"
"scansFINALSWEEP_annVAL_30_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","30","0.852359226585905","false","true"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","30","0.8692579962185631","true","true"
"scansFINALSWEEP_annNOVAL_30_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","30","0.814666836138637","false","false"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","30","0.8903967571731108","true","true"
"scansFINALSWEEP_annVAL_30_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","30","0.8876592587924149","false","true"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","20","0.8389482191908605","true","true"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","20","0.8505213063212451","true","true"
"scansFINALSWEEP_annVAL_20_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","20","0.8559131813055748","false","true"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","20","0.8301678301426338","true","true"
"scansFINALSWEEP_annNOVAL_20_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","20","0.856518065640264","false","false"
"scansFINALSWEEP_annVAL_20_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","20","0.8763769847073699","false","true"
"scansFINALSWEEP_annNOVAL_20_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","20","0.831903963482542","false","false"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","20","0.8331406059056305","true","true"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","20","0.8680209812265307","true","true"
"scansFINALSWEEP_ND_20_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","20","0.865073891113273","true","true"
"scansFINALSWEEP_annNOVAL_20_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","20","0.8756585452147574","false","false"
"scansFINALSWEEP_annVAL_20_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","20","0.8512903998710949","false","true"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","10","0.7501713998300426","true","true"
